./lib/chinese.js: line 1278, col 10, Duplicate key '㭩'.
./lib/chinese.js: line 1281, col 11, Duplicate key '𡰠'.
./lib/chinese.js: line 1285, col 10, Duplicate key '䇐'.
./lib/chinese.js: line 1293, col 10, Duplicate key '㔣'.
./lib/chinese.js: line 1308, col 10, Duplicate key '㾺'.
./lib/chinese.js: line 1316, col 11, Duplicate key '𠈵'.
./lib/chinese.js: line 1326, col 10, Duplicate key '㟐'.
./lib/chinese.js: line 1340, col 10, Duplicate key '䀛'.
./lib/chinese.js: line 1343, col 10, Duplicate key '䁅'.
./lib/chinese.js: line 1347, col 10, Duplicate key '㩢'.
./lib/chinese.js: line 1350, col 10, Duplicate key '㵋'.
./lib/chinese.js: line 1368, col 11, Duplicate key '𤛎'.
./lib/chinese.js: line 1371, col 11, Duplicate key '𥁰'.
./lib/chinese.js: line 1376, col 11, Duplicate key '𡬍'.
./lib/chinese.js: line 1390, col 10, Duplicate key '㵟'.
./lib/chinese.js: line 1394, col 11, Duplicate key '𡕢'.
./lib/chinese.js: line 1397, col 10, Duplicate key '㝃'.
./lib/chinese.js: line 1399, col 10, Duplicate key '㒝'.
./lib/chinese.js: line 1403, col 10, Duplicate key '㡔'.
./lib/chinese.js: line 1408, col 10, Duplicate key '䋷'.
./lib/chinese.js: line 1416, col 10, Duplicate key '䁇'.
./lib/chinese.js: line 1420, col 10, Duplicate key '㡔'.
./lib/chinese.js: line 1422, col 11, Duplicate key '𠔼'.
./lib/chinese.js: line 1423, col 10, Duplicate key '䓮'.
./lib/chinese.js: line 1426, col 11, Duplicate key '𢄐'.
./lib/chinese.js: line 1432, col 10, Duplicate key '䆀'.
./lib/chinese.js: line 1448, col 10, Duplicate key '㦒'.
./lib/chinese.js: line 1451, col 10, Duplicate key '㜤'.
./lib/chinese.js: line 1464, col 11, Duplicate key '𤜵'.
./lib/chinese.js: line 1477, col 10, Duplicate key '㩵'.
./lib/chinese.js: line 1489, col 10, Duplicate key '㪒'.
./lib/chinese.js: line 1494, col 11, Duplicate key '𤜵'.
./lib/chinese.js: line 1497, col 10, Duplicate key '㘈'.
./lib/chinese.js: line 1498, col 11, Duplicate key '𠪚'.
./lib/chinese.js: line 1516, col 11, Duplicate key '𡶫'.
./lib/chinese.js: line 1519, col 10, Duplicate key '㦣'.
./lib/chinese.js: line 1536, col 11, Duplicate key '𥝌'.
./lib/chinese.js: line 1540, col 10, Duplicate key '㜝'.
./lib/chinese.js: line 1547, col 10, Duplicate key '㟅'.
./lib/chinese.js: line 1551, col 11, Duplicate key '𤸷'.
./lib/chinese.js: line 1552, col 10, Duplicate key '㱚'.
./lib/chinese.js: line 1554, col 11, Duplicate key '𠂬'.
./lib/chinese.js: line 1559, col 10, Duplicate key '㑮'.
./lib/chinese.js: line 1564, col 11, Duplicate key '𣉘'.
./lib/chinese.js: line 1574, col 10, Duplicate key '㺜'.
./lib/chinese.js: line 1578, col 10, Duplicate key '㺜'.
./lib/chinese.js: line 1585, col 10, Duplicate key '㺒'.
./lib/chinese.js: line 1589, col 10, Duplicate key '㬮'.
./lib/chinese.js: line 1591, col 10, Duplicate key '㑳'.
./lib/chinese.js: line 1592, col 11, Duplicate key '𤷈'.
./lib/chinese.js: line 1598, col 10, Duplicate key '㥾'.
./lib/chinese.js: line 1617, col 10, Duplicate key '㝅'.
./lib/chinese.js: line 1622, col 11, Duplicate key '𣨙'.
./lib/chinese.js: line 1626, col 10, Duplicate key '㕯'.
./lib/chinese.js: line 1638, col 10, Duplicate key '㜣'.
./lib/chinese.js: line 1644, col 10, Duplicate key '䎠'.
./lib/chinese.js: line 1651, col 10, Duplicate key '㭁'.
./lib/chinese.js: line 1656, col 11, Duplicate key '𡫽'.
./lib/chinese.js: line 1660, col 11, Duplicate key '𢫨'.
./lib/chinese.js: line 1662, col 11, Duplicate key '𡫽'.
./lib/chinese.js: line 1663, col 10, Duplicate key '㼋'.
./lib/chinese.js: line 1671, col 11, Duplicate key '𤲬'.
./lib/chinese.js: line 1672, col 11, Duplicate key '𤲬'.
./lib/chinese.js: line 1673, col 10, Duplicate key '㕯'.
./lib/chinese.js: line 1682, col 11, Duplicate key '𤃷'.
./lib/chinese.js: line 1683, col 10, Duplicate key '㞄'.
./lib/chinese.js: line 1685, col 11, Duplicate key '𤸱'.
./lib/chinese.js: line 1687, col 10, Duplicate key '䁷'.
./lib/chinese.js: line 1706, col 10, Duplicate key '䈲'.
./lib/chinese.js: line 1729, col 10, Duplicate key '㪏'.
./lib/chinese.js: line 1735, col 10, Duplicate key '㿟'.
./lib/chinese.js: line 1736, col 11, Duplicate key '𠐋'.
./lib/chinese.js: line 1739, col 10, Duplicate key '㩧'.
./lib/chinese.js: line 1742, col 10, Duplicate key '㤄'.
./lib/chinese.js: line 1743, col 11, Duplicate key '𥴮'.
./lib/chinese.js: line 1746, col 11, Duplicate key '𣂆'.
./lib/chinese.js: line 1756, col 11, Duplicate key '𥌊'.
./lib/chinese.js: line 1772, col 10, Duplicate key '㱟'.
./lib/chinese.js: line 1774, col 10, Duplicate key '㡀'.
./lib/chinese.js: line 1788, col 10, Duplicate key '䊧'.
./lib/chinese.js: line 1789, col 10, Duplicate key '㤄'.
./lib/chinese.js: line 1792, col 11, Duplicate key '𠆩'.
./lib/chinese.js: line 1797, col 10, Duplicate key '㤄'.
./lib/chinese.js: line 1802, col 11, Duplicate key '𠓗'.
./lib/chinese.js: line 1804, col 11, Duplicate key '𡵳'.
./lib/chinese.js: line 1807, col 11, Duplicate key '𤸑'.
./lib/chinese.js: line 1812, col 10, Duplicate key '㤱'.
./lib/chinese.js: line 1817, col 11, Duplicate key '𤸵'.
./lib/chinese.js: line 1826, col 11, Duplicate key '𥇖'.
./lib/chinese.js: line 1846, col 10, Duplicate key '䃾'.
./lib/chinese.js: line 1847, col 10, Duplicate key '䃾'.
./lib/chinese.js: line 1848, col 11, Duplicate key '𠦒'.
./lib/chinese.js: line 1858, col 10, Duplicate key '㿎'.
./lib/chinese.js: line 1862, col 10, Duplicate key '䍍'.
./lib/chinese.js: line 1864, col 11, Duplicate key '𡜊'.
./lib/chinese.js: line 1866, col 10, Duplicate key '㕮'.
./lib/chinese.js: line 1871, col 11, Duplicate key '𦂌'.
./lib/chinese.js: line 1882, col 11, Duplicate key '𠸶'.
./lib/chinese.js: line 1885, col 10, Duplicate key '䈀'.
./lib/chinese.js: line 1912, col 10, Duplicate key '㩋'.
./lib/chinese.js: line 1913, col 10, Duplicate key '㩋'.
./lib/chinese.js: line 1927, col 10, Duplicate key '䈚'.
./lib/chinese.js: line 1940, col 10, Duplicate key '㔎'.
./lib/chinese.js: line 1946, col 10, Duplicate key '㾻'.
./lib/chinese.js: line 1953, col 10, Duplicate key '㥠'.
./lib/chinese.js: line 1958, col 11, Duplicate key '𦄼'.
./lib/chinese.js: line 1959, col 11, Duplicate key '𦄼'.
./lib/chinese.js: line 1977, col 11, Duplicate key '𠦃'.
./lib/chinese.js: line 1982, col 11, Duplicate key '𠱡'.
./lib/chinese.js: line 1986, col 10, Duplicate key '㨻'.
./lib/chinese.js: line 1992, col 10, Duplicate key '㹪'.
./lib/chinese.js: line 2003, col 11, Duplicate key '𡩡'.
./lib/chinese.js: line 2006, col 10, Duplicate key '㺑'.
./lib/chinese.js: line 2020, col 10, Duplicate key '㡜'.
./lib/chinese.js: line 2025, col 10, Duplicate key '㡏'.
./lib/chinese.js: line 2029, col 10, Duplicate key '㩋'.
./lib/chinese.js: line 2035, col 10, Duplicate key '㝈'.
./lib/chinese.js: line 2074, col 11, Duplicate key '𤖻'.
./lib/chinese.js: line 2080, col 10, Duplicate key '㚒'.
./lib/chinese.js: line 2082, col 10, Duplicate key '㒄'.
./lib/chinese.js: line 2094, col 10, Duplicate key '㑛'.
./lib/chinese.js: line 2103, col 10, Duplicate key '䀢'.
./lib/chinese.js: line 2121, col 11, Duplicate key '𢰂'.
./lib/chinese.js: line 2129, col 11, Duplicate key '𦒻'.
./lib/chinese.js: line 2134, col 10, Duplicate key '㞟'.
./lib/chinese.js: line 2142, col 10, Duplicate key '㠀'.
./lib/chinese.js: line 2146, col 11, Duplicate key '𠪚'.
./lib/chinese.js: line 2147, col 11, Duplicate key '𦧴'.
./lib/chinese.js: line 2157, col 10, Duplicate key '？'.
./lib/chinese.js: line 2164, col 10, Duplicate key '㬱'.
./lib/chinese.js: line 2177, col 10, Duplicate key '㡇'.
./lib/chinese.js: line 2184, col 10, Duplicate key '㐁'.
./lib/chinese.js: line 2186, col 11, Duplicate key '𤃶'.
./lib/chinese.js: line 2202, col 10, Duplicate key '㥆'.
./lib/chinese.js: line 2218, col 10, Duplicate key '䅊'.
./lib/chinese.js: line 2241, col 10, Duplicate key '㪬'.
./lib/chinese.js: line 2253, col 11, Duplicate key '𦳝'.
./lib/chinese.js: line 2254, col 11, Duplicate key '𣥺'.
./lib/chinese.js: line 2260, col 11, Duplicate key '𡝫'.
./lib/chinese.js: line 2263, col 11, Duplicate key '𣃘'.
./lib/chinese.js: line 2264, col 10, Duplicate key '㢟'.
./lib/chinese.js: line 2285, col 11, Duplicate key '𢐂'.
./lib/chinese.js: line 2289, col 10, Duplicate key '㨖'.
./lib/chinese.js: line 2292, col 11, Duplicate key '𣃘'.
./lib/chinese.js: line 2293, col 10, Duplicate key '㨖'.
./lib/chinese.js: line 2303, col 10, Duplicate key '㡇'.
./lib/chinese.js: line 2305, col 10, Duplicate key '㨖'.
./lib/chinese.js: line 2307, col 11, Duplicate key '𢒔'.
./lib/chinese.js: line 2310, col 11, Duplicate key '𡮞'.
./lib/chinese.js: line 2311, col 11, Duplicate key '𦬕'.
./lib/chinese.js: line 2316, col 11, Duplicate key '𢕮'.
./lib/chinese.js: line 2318, col 11, Duplicate key '𡱂'.
./lib/chinese.js: line 2319, col 10, Duplicate key '㡒'.
./lib/chinese.js: line 2322, col 10, Duplicate key '？'.
./lib/chinese.js: line 2333, col 11, Duplicate key '𠗉'.
./lib/chinese.js: line 2345, col 10, Duplicate key '㡟'.
